Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
10.000000	630.577   	634.345   	637.292   	637.292   	15.3085   	9.86483   	5.4041    	5.25945   	5.13381   
10.250000	659.106   	662.809   	666.25    	666.25    	16.0234   	10.2796   	5.64632   	5.48261   	5.36534   
10.500000	687.634   	691.272   	695.209   	695.208   	16.7383   	10.6944   	5.88854   	5.70577   	5.59686   
10.750000	716.162   	719.736   	724.167   	724.167   	17.4532   	11.1092   	6.13076   	5.92893   	5.82838   
11.000000	744.691   	748.2     	753.126   	753.125   	18.1681   	11.524    	6.37298   	6.15209   	6.05991   
11.250000	775.322   	778.663   	784.221   	784.22    	18.938    	11.9648   	6.63287   	6.3896    	6.30848   
11.500000	805.953   	809.126   	815.316   	815.314   	19.7078   	12.4055   	6.89276   	6.62711   	6.55704   
11.750000	836.584   	839.589   	846.411   	846.409   	20.4777   	12.8463   	7.15265   	6.86462   	6.80561   
12.000000	867.215   	870.052   	877.506   	877.503   	21.2475   	13.287    	7.41255   	7.10213   	7.05418   
12.250000	899.916   	902.495   	910.7     	910.697   	22.0713   	13.753    	7.68978   	7.3538    	7.31948   
12.500000	932.616   	934.938   	943.894   	943.891   	22.895    	14.219    	7.96701   	7.60548   	7.58477   
12.750000	965.317   	967.381   	977.089   	977.084   	23.7188   	14.685    	8.24425   	7.85715   	7.85007   
13.000000	998.018   	999.824   	1010.28   	1010.28   	24.5425   	15.151    	8.52148   	8.10883   	8.11537   
13.250000	1032.76   	1034.23   	1045.54   	1045.54   	25.4192   	15.6414   	8.81573   	8.37432   	8.3971    
13.500000	1067.5    	1068.63   	1080.8    	1080.8    	26.2959   	16.1318   	9.10998   	8.63982   	8.67883   
13.750000	1102.24   	1103.04   	1116.06   	1116.05   	27.1725   	16.6222   	9.40423   	8.90531   	8.96056   
14.000000	1136.98   	1137.44   	1151.32   	1151.31   	28.0492   	17.1126   	9.69848   	9.1708    	9.24229   
14.250000	1173.73   	1173.79   	1188.61   	1188.6    	28.9779   	17.6271   	10.0095   	9.4498    	9.54017   
