Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.000000	-	-	-	-	-	-	-	-	-
0.002500	0.0572999 	0.0589533 	0.035777  	0.035777  	0.00208437	0.00208437	6.97131e-05	0.000119244	4.5646e-05
0.005000	0.10311   	0.107084  	0.0665675 	0.0665675 	0.00237726	0.00237726	0.000168391	0.000282459	0.000113878
0.007500	0.140321  	0.14618   	0.0930541 	0.0930541 	0.00238973	0.00238973	0.000279422	0.000461408	0.00019353
0.010000	0.174409  	0.181996  	0.117919  	0.117919  	0.00244616	0.00244616	0.000396352	0.000647953	0.00027854
0.012500	0.203507  	0.212567  	0.140547  	0.140547  	0.00259257	0.00259257	0.000522665	0.000846611	0.00037202
0.015000	0.232604  	0.243139  	0.163175  	0.163175  	0.00273898	0.00273898	0.000648979	0.00104527	0.000465499
0.017500	0.257451  	0.269244  	0.184001  	0.184001  	0.00294677	0.00294677	0.000783953	0.00125495	0.000566854
0.020000	0.282297  	0.295349  	0.204827  	0.204827  	0.00315456	0.00315456	0.000918928	0.00146463	0.000668209
0.022500	0.304481  	0.318657  	0.224401  	0.224401  	0.00338113	0.00338113	0.00106081	0.00168305	0.000775858
0.025000	0.326665  	0.341965  	0.243975  	0.243975  	0.00360771	0.00360771	0.00120269	0.00190146	0.000883506
0.027500	0.34705   	0.363383  	0.262872  	0.262872  	0.00384427	0.00384427	0.00135302	0.00213092	0.000998631
0.030000	0.367434  	0.3848    	0.281769  	0.281769  	0.00408083	0.00408083	0.00150335	0.00236037	0.00111376
0.032500	0.386555  	0.40489   	0.300426  	0.300426  	0.00432854	0.00432854	0.00166451	0.00260434	0.00123828
0.035000	0.405677  	0.42498   	0.319083  	0.319083  	0.00457625	0.00457625	0.00182567	0.00284831	0.0013628 
0.037500	0.423898  	0.444124  	0.337602  	0.337602  	0.0048307 	0.0048307 	0.00199793	0.00310726	0.00149686
0.040000	0.442119  	0.463268  	0.356121  	0.356121  	0.00508515	0.00508515	0.00217019	0.0033662 	0.00163093
0.042500	0.459701  	0.481741  	0.37458   	0.37458   	0.00534434	0.00534434	0.00235379	0.00364048	0.00177472
0.045000	0.477284  	0.500215  	0.393039  	0.393039  	0.00560352	0.00560352	0.0025374 	0.00391476	0.00191852
0.047500	0.494426  	0.518225  	0.411498  	0.411498  	0.00586663	0.00605425	0.00273251	0.0042046 	0.00207218
0.050000	0.511567  	0.536235  	0.429957  	0.429957  	0.00612975	0.00650497	0.00292763	0.00449444	0.00222584
0.052500	0.528421  	0.553943  	0.448466  	0.448466  	0.0063966 	0.00701852	0.0031346 	0.00480029	0.00238965
0.055000	0.545276  	0.571651  	0.466974  	0.466974  	0.00666346	0.00753206	0.00334157	0.00510614	0.00255345
0.057500	0.561966  	0.589187  	0.485573  	0.485573  	0.00693418	0.00800803	0.00355641	0.00542211	0.00272425
0.060000	0.578655  	0.606722  	0.504171  	0.504171  	0.0072049 	0.00848399	0.00377124	0.00573809	0.00289504
0.062500	0.59529   	0.624199  	0.522968  	0.522968  	0.00748201	0.0089269 	0.00396302	0.00601854	0.00304829
0.065000	0.611925  	0.641677  	0.541765  	0.541765  	0.00775911	0.0093698 	0.00415479	0.006299  	0.00320155
0.067500	0.628559  	0.659154  	0.560562  	0.560562  	0.00803621	0.0098127 	0.00434656	0.00657945	0.0033548 
0.070000	0.645194  	0.676631  	0.579359  	0.579359  	0.00831331	0.0102556 	0.00453833	0.0068599 	0.00350805
0.072500	0.661996  	0.694285  	0.598506  	0.598506  	0.00860009	0.0106747 	0.004711  	0.00711047	0.00364699
0.075000	0.678798  	0.711938  	0.617653  	0.617653  	0.00888687	0.0110938 	0.00488366	0.00736104	0.00378594
0.077500	0.6956    	0.729592  	0.6368    	0.6368    	0.00917365	0.0115129 	0.00505633	0.00761161	0.00392488
0.080000	0.712403  	0.747245  	0.655947  	0.655947  	0.00946043	0.011932  	0.00522899	0.00786218	0.00406382
0.082500	0.729585  	0.765298  	0.675521  	0.675521  	0.00975824	0.0123407 	0.00539062	0.00809494	0.00419475
0.085000	0.746767  	0.783351  	0.695096  	0.695096  	0.0100561 	0.0127493 	0.00555224	0.00832771	0.00432568
0.087500	0.763949  	0.801403  	0.71467   	0.71467   	0.0103539 	0.013158  	0.00571387	0.00856047	0.00445661
0.090000	0.781131  	0.819456  	0.734244  	0.734244  	0.0106517 	0.0135666 	0.00587549	0.00879324	0.00458754
0.092500	0.798841  	0.838063  	0.754302  	0.754302  	0.0109617 	0.0139722 	0.00603054	0.00901492	0.00471392
0.095000	0.816551  	0.85667   	0.77436   	0.77436   	0.0112717 	0.0143779 	0.00618559	0.0092366 	0.0048403 
0.097500	0.834262  	0.875278  	0.794419  	0.794419  	0.0115817 	0.0147835 	0.00634064	0.00945828	0.00496668
0.100000	0.851972  	0.893885  	0.814477  	0.814477  	0.0118917 	0.0151892 	0.00649569	0.00967996	0.00509306
0.102500	0.870659  	0.913519  	0.83534   	0.83534   	0.0122216 	0.0155987 	0.0066461 	0.00989291	0.00521664
0.105000	0.889346  	0.933153  	0.856203  	0.856203  	0.0125515 	0.0160083 	0.0067965 	0.0101059 	0.00534021
0.107500	0.908033  	0.952787  	0.877065  	0.877065  	0.0128814 	0.0164178 	0.00694691	0.0103188 	0.00546378
0.110000	0.92672   	0.97242   	0.897928  	0.897928  	0.0132113 	0.0168274 	0.00709731	0.0105318 	0.00558736
0.112500	0.945407  	0.992054  	0.918791  	0.918791  	0.0135413 	0.0172369 	0.00724771	0.0107447 	0.00571093
0.115000	0.964094  	1.01169   	0.939654  	0.939654  	0.0138712 	0.0176465 	0.00739812	0.0109577 	0.00583451
0.117500	0.982781  	1.03132   	0.960517  	0.960517  	0.0142011 	0.0180561 	0.00754852	0.0111706 	0.00595808
0.120000	1.00147   	1.05096   	0.981379  	0.981379  	0.014531  	0.0184656 	0.00769893	0.0113836 	0.00608165
0.122500	1.02162   	1.07212   	1.00339   	1.00339   	0.0148892 	0.0188878 	0.00784653	0.0115901 	0.0062041 
0.125000	1.04177   	1.09329   	1.02541   	1.02541   	0.0152473 	0.0193101 	0.00799414	0.0117965 	0.00632656
0.127500	1.06191   	1.11446   	1.04743   	1.04743   	0.0156054 	0.0197323 	0.00814175	0.0120029 	0.00644901
0.130000	1.08206   	1.13563   	1.06944   	1.06944   	0.0159635 	0.0201545 	0.00828935	0.0122094 	0.00657146
0.132500	1.10221   	1.1568    	1.09146   	1.09146   	0.0163216 	0.0205768 	0.00843696	0.0124158 	0.00669391
0.135000	1.12236   	1.17797   	1.11347   	1.11347   	0.0166797 	0.020999  	0.00858456	0.0126223 	0.00681636
0.137500	1.14251   	1.19914   	1.13549   	1.13549   	0.0170379 	0.0214212 	0.00873217	0.0128287 	0.00693881
0.140000	1.16266   	1.22031   	1.1575    	1.1575    	0.017396  	0.0218435 	0.00887978	0.0130352 	0.00706126
0.142500	1.18432   	1.24308   	1.18072   	1.18072   	0.017783  	0.0222945 	0.00902738	0.0132393 	0.00718475
0.145000	1.20599   	1.26584   	1.20393   	1.20393   	0.01817   	0.0227456 	0.00917498	0.0134434 	0.00730824
0.147500	1.22766   	1.28861   	1.22715   	1.22715   	0.018557  	0.0231966 	0.00932259	0.0136476 	0.00743174
0.150000	1.24933   	1.31137   	1.25037   	1.25037   	0.018944  	0.0236477 	0.00947019	0.0138517 	0.00755523
0.152500	1.271     	1.33414   	1.27358   	1.27358   	0.019331  	0.0240987 	0.0096178 	0.0140558 	0.00767872
0.155000	1.29266   	1.3569    	1.2968    	1.2968    	0.019718  	0.0245498 	0.0097654 	0.01426   	0.00780221
0.157500	1.31433   	1.37967   	1.32001   	1.32001   	0.020105  	0.0250008 	0.00991301	0.0144641 	0.0079257 
0.160000	1.336     	1.40244   	1.34323   	1.34323   	0.020492  	0.0254519 	0.0100606 	0.0146682 	0.00804919
0.162500	1.35916   	1.42677   	1.36766   	1.36766   	0.0209076 	0.0259564 	0.0102103 	0.0148733 	0.00817535
0.165000	1.38232   	1.4511    	1.39209   	1.39209   	0.0213232 	0.0264609 	0.0103601 	0.0150783 	0.0083015 
0.167500	1.40548   	1.47544   	1.41652   	1.41652   	0.0217388 	0.0269654 	0.0105098 	0.0152834 	0.00842766
0.170000	1.42864   	1.49977   	1.44094   	1.44094   	0.0221543 	0.0274699 	0.0106595 	0.0154884 	0.00855381
