Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
10.000000	715.495   	708.925   	703.845   	703.845   	16.6195   	10.7365   	6.08077   	5.92446   	5.79222   
10.250000	747.77    	740.488   	735.432   	735.432   	17.3804   	11.1786   	6.3475    	6.17043   	6.04784   
10.500000	780.045   	772.051   	767.019   	767.018   	18.1412   	11.6207   	6.61424   	6.41639   	6.30347   
10.750000	812.319   	803.614   	798.606   	798.605   	18.902    	12.0629   	6.88097   	6.66236   	6.55909   
11.000000	844.594   	835.177   	830.193   	830.192   	19.6628   	12.505    	7.14771   	6.90832   	6.81472   
11.250000	879.237   	869.002   	864.104   	864.103   	20.4838   	12.9757   	7.43382   	7.17004   	7.08908   
11.500000	913.881   	902.827   	898.015   	898.014   	21.3048   	13.4464   	7.71993   	7.43176   	7.36344   
11.750000	948.524   	936.652   	931.927   	931.925   	22.1257   	13.9172   	8.00604   	7.69347   	7.6378    
12.000000	983.168   	970.477   	965.838   	965.836   	22.9467   	14.3879   	8.29216   	7.95519   	7.91216   
12.250000	1020.14   	1006.54   	1002.05   	1002.04   	23.8273   	14.8867   	8.59754   	8.23266   	8.20516   
12.500000	1057.12   	1042.6    	1038.26   	1038.25   	24.7078   	15.3856   	8.90292   	8.51013   	8.49816   
12.750000	1094.09   	1078.67   	1074.46   	1074.46   	25.5883   	15.8845   	9.2083    	8.7876    	8.79116   
13.000000	1131.07   	1114.73   	1110.67   	1110.67   	26.4689   	16.3833   	9.51368   	9.06507   	9.08415   
13.250000	1170.34   	1153.01   	1149.15   	1149.15   	27.4085   	16.9097   	9.83822   	9.35812   	9.39568   
13.500000	1209.61   	1191.29   	1187.64   	1187.63   	28.3481   	17.4361   	10.1628   	9.65118   	9.70722   
13.750000	1248.88   	1229.57   	1226.12   	1226.11   	29.2878   	17.9626   	10.4873   	9.94423   	10.0187   
14.000000	1288.15   	1267.84   	1264.6    	1264.59   	30.2274   	18.489    	10.8118   	10.2373   	10.3303   
14.250000	1329.69   	1308.32   	1305.33   	1305.33   	31.2259   	19.0429   	11.1554   	10.5458   	10.6603   
14.500000	1371.23   	1348.79   	1346.07   	1346.06   	32.2243   	19.5969   	11.499    	10.8543   	10.9902   
14.750000	1412.76   	1389.26   	1386.8    	1386.8    	33.2227   	20.1508   	11.8426   	11.1628   	11.3202   
15.000000	1454.3    	1429.73   	1427.54   	1427.53   	34.2212   	20.7048   	12.1862   	11.4713   	11.6502   
15.250000	1498.07   	1472.38   	1470.51   	1470.5    	35.2782   	21.2861   	12.5488   	11.7951   	11.9986   
15.500000	1541.84   	1515.02   	1513.48   	1513.47   	36.3353   	21.8675   	12.9114   	12.1189   	12.347    
15.750000	1585.61   	1557.66   	1556.45   	1556.44   	37.3923   	22.4488   	13.2739   	12.4427   	12.6953   
16.000000	1629.38   	1600.31   	1599.42   	1599.41   	38.4493   	23.0302   	13.6365   	12.7666   	13.0437   
16.250000	1675.36   	1645.1    	1644.6    	1644.6    	39.5647   	23.6385   	14.018    	13.1056   	13.4104   
16.500000	1721.34   	1689.9    	1689.79   	1689.79   	40.6801   	24.2468   	14.3995   	13.4446   	13.7771   
16.750000	1767.32   	1734.69   	1734.98   	1734.98   	41.7954   	24.855    	14.7809   	13.7836   	14.1438   
17.000000	1813.3    	1779.49   	1780.17   	1780.17   	42.9108   	25.4633   	15.1624   	14.1226   	14.5105   
17.250000	1861.46   	1826.41   	1827.56   	1827.56   	44.0843   	26.0983   	15.5627   	14.4768   	14.8954   
17.500000	1909.61   	1873.34   	1874.95   	1874.96   	45.2579   	26.7333   	15.9631   	14.8309   	15.2804   
17.750000	1957.77   	1920.27   	1922.34   	1922.35   	46.4314   	27.3683   	16.3634   	15.185    	15.6654   
18.000000	2005.93   	1967.19   	1969.73   	1969.75   	47.605    	28.0032   	16.7637   	15.5391   	16.0503   
18.250000	2056.25   	2016.23   	2019.32   	2019.33   	48.8368   	28.6649   	17.1828   	15.9083   	16.4535   
18.500000	2106.56   	2065.27   	2068.9    	2068.92   	50.0685   	29.3266   	17.6019   	16.2774   	16.8567   
18.750000	2156.87   	2114.31   	2118.48   	2118.51   	51.3003   	29.9882   	18.0211   	16.6466   	17.2599   
19.000000	2207.19   	2163.35   	2168.07   	2168.1    	52.532    	30.6499   	18.4402   	17.0157   	17.6632   
19.250000	2259.63   	2214.48   	2219.83   	2219.87   	53.822    	31.3382   	18.8781   	17.3998   	18.0846   
19.500000	2312.08   	2265.62   	2271.6    	2271.64   	55.1119   	32.0265   	19.316    	17.784    	18.506    
19.750000	2364.53   	2316.75   	2323.36   	2323.41   	56.4019   	32.7148   	19.7539   	18.1681   	18.9275   
20.000000	2416.97   	2367.88   	2375.13   	2375.18   	57.6918   	33.4031   	20.1918   	18.5522   	19.3489   
20.250000	2471.53   	2421.09   	2429.07   	2429.12   	59.0399   	34.1179   	20.6485   	18.9512   	19.7886   
20.500000	2526.08   	2474.3    	2483.01   	2483.06   	60.388    	34.8327   	21.1051   	19.3502   	20.2283   
20.750000	2580.64   	2527.51   	2536.94   	2537.01   	61.7361   	35.5476   	21.5618   	19.7492   	20.6679   
21.000000	2635.19   	2580.72   	2590.88   	2590.95   	63.0841   	36.2624   	22.0184   	20.1482   	21.1076   
21.250000	2691.83   	2635.99   	2646.98   	2647.06   	64.4904   	37.0037   	22.4938   	20.5621   	21.5654   
21.500000	2748.47   	2691.26   	2703.08   	2703.16   	65.8966   	37.7451   	22.9692   	20.976    	22.0233   
21.750000	2805.12   	2746.53   	2759.18   	2759.27   	67.3028   	38.4864   	23.4446   	21.3898   	22.4812   
22.000000	2861.76   	2801.8    	2815.28   	2815.38   	68.709    	39.2278   	23.92     	21.8037   	22.9391   
22.250000	2920.47   	2859.11   	2873.54   	2873.64   	70.1734   	39.9956   	24.4141   	22.2324   	23.4151   
22.500000	2979.18   	2916.42   	2931.8    	2931.9    	71.6378   	40.7635   	24.9082   	22.661    	23.8912   
22.750000	3037.89   	2973.73   	2990.05   	2990.16   	73.1022   	41.5313   	25.4023   	23.0897   	24.3673   
23.000000	3096.59   	3031.04   	3048.31   	3048.42   	74.5665   	42.2992   	25.8965   	23.5184   	24.8434   
23.250000	3157.35   	3090.38   	3108.71   	3108.83   	76.089    	43.0933   	26.4093   	23.9618   	25.3377   
23.500000	3218.11   	3149.72   	3169.11   	3169.24   	77.6114   	43.8874   	26.9221   	24.4052   	25.8319   
23.750000	3278.86   	3209.06   	3229.51   	3229.65   	79.1339   	44.6815   	27.4349   	24.8486   	26.3262   
24.000000	3339.62   	3268.39   	3289.91   	3290.06   	80.6563   	45.4756   	27.9477   	25.2921   	26.8205   
24.250000	3402.4    	3329.74   	3352.45   	3352.61   	82.2366   	46.2956   	28.4792   	25.7502   	27.333    
24.500000	3465.19   	3391.09   	3414.99   	3415.16   	83.817    	47.1156   	29.0106   	26.2083   	27.8454   
24.750000	3527.97   	3452.44   	3477.53   	3477.71   	85.3973   	47.9356   	29.5421   	26.6664   	28.3579   
25.000000	3590.75   	3513.79   	3540.07   	3540.26   	86.9776   	48.7556   	30.0736   	27.1245   	28.8703   
25.250000	3656.54   	3578.12   	3605.8    	3606.01   	88.6449   	49.6145   	30.633    	27.6046   	29.41     
25.500000	3722.33   	3642.45   	3671.53   	3671.75   	90.3121   	50.4734   	31.1924   	28.0846   	29.9497   
25.750000	3788.12   	3706.79   	3737.26   	3737.5    	91.9793   	51.3322   	31.7518   	28.5647   	30.4895   
26.000000	3853.91   	3771.12   	3802.99   	3803.25   	93.6465   	52.1911   	32.3113   	29.0448   	31.0292   
26.250000	3919.7    	3835.46   	3868.72   	3869      	95.3137   	53.05     	32.8707   	29.5248   	31.5689   
26.500000	3985.49   	3899.79   	3934.44   	3934.75   	96.9809   	53.9089   	33.4301   	30.0049   	32.1086   
26.750000	4051.28   	3964.12   	4000.17   	4000.49   	98.6481   	54.7678   	33.9896   	30.485    	32.6483   
27.000000	4117.07   	4028.46   	4065.9    	4066.24   	100.315   	55.6267   	34.549    	30.965    	33.188    
27.250000	4186.8    	4096.72   	4135.87   	4136.23   	102.099   	56.5382   	35.1458   	31.4743   	33.7642   
27.500000	4256.54   	4164.99   	4205.84   	4206.23   	103.882   	57.4496   	35.7425   	31.9836   	34.3403   
27.750000	4326.28   	4233.25   	4275.81   	4276.22   	105.666   	58.3611   	36.3393   	32.4929   	34.9165   
28.000000	4396.02   	4301.52   	4345.78   	4346.21   	107.449   	59.2725   	36.9361   	33.0022   	35.4926   
28.250000	4465.76   	4369.78   	4415.75   	4416.2    	109.233   	60.184    	37.5328   	33.5115   	36.0688   
28.500000	4535.5    	4438.05   	4485.72   	4486.19   	111.016   	61.0955   	38.1296   	34.0208   	36.6449   
28.750000	4605.24   	4506.32   	4555.69   	4556.19   	112.8     	62.0069   	38.7264   	34.5301   	37.2211   
29.000000	4674.97   	4574.58   	4625.66   	4626.18   	114.583   	62.9184   	39.3231   	35.0394   	37.7972   
29.250000	4748.6    	4646.72   	4699.81   	4700.35   	116.48    	63.8808   	39.9567   	35.5774   	38.4094   
29.500000	4822.22   	4718.87   	4773.96   	4774.52   	118.377   	64.8431   	40.5903   	36.1154   	39.0215   
29.750000	4895.84   	4791.01   	4848.11   	4848.69   	120.274   	65.8055   	41.2238   	36.6535   	39.6336   
