Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
10.000000	134.985   	141.16    	134.932   	134.935   	0.626687  	0.37552   	0.168162  	0.206295  	0.158736  
10.250000	140.512   	146.713   	140.349   	140.346   	0.653178  	0.390471  	0.171803  	0.210112  	0.16237   
10.500000	146.038   	152.267   	145.766   	145.756   	0.679669  	0.405422  	0.175444  	0.213929  	0.166005  
10.750000	151.565   	157.82    	151.183   	151.167   	0.70616   	0.420373  	0.179086  	0.217746  	0.16964   
11.000000	157.092   	163.374   	156.601   	156.577   	0.732651  	0.435323  	0.182727  	0.221563  	0.173274  
11.250000	163.004   	169.29    	162.407   	162.365   	0.761393  	0.451387  	0.186858  	0.225901  	0.177391  
11.500000	168.915   	175.206   	168.214   	168.152   	0.790135  	0.467451  	0.190989  	0.230238  	0.181507  
11.750000	174.826   	181.123   	174.021   	173.94    	0.818877  	0.483515  	0.19512   	0.234576  	0.185624  
12.000000	180.738   	187.039   	179.827   	179.727   	0.847619  	0.499579  	0.199251  	0.238914  	0.18974   
12.250000	187.029   	193.316   	186.022   	185.89    	0.878591  	0.516738  	0.203852  	0.243748  	0.194322  
12.500000	193.321   	199.593   	192.216   	192.053   	0.909563  	0.533897  	0.208454  	0.248582  	0.198903  
12.750000	199.612   	205.87    	198.411   	198.216   	0.940535  	0.551056  	0.213056  	0.253416  	0.203485  
13.000000	205.904   	212.148   	204.605   	204.379   	0.971506  	0.568215  	0.217658  	0.25825   	0.208066  
13.250000	212.571   	218.784   	211.185   	210.916   	1.00469   	0.586449  	0.222721  	0.263568  	0.213104  
13.500000	219.239   	225.42    	217.765   	217.452   	1.03787   	0.604683  	0.227785  	0.268887  	0.218142  
13.750000	225.906   	232.057   	224.344   	223.989   	1.07105   	0.622917  	0.232849  	0.274205  	0.22318   
14.000000	232.574   	238.693   	230.924   	230.526   	1.10424   	0.641151  	0.237913  	0.279524  	0.228218  
14.250000	239.613   	245.687   	237.888   	237.435   	1.13961   	0.660435  	0.243421  	0.285305  	0.233697  
14.500000	246.653   	252.681   	244.851   	244.345   	1.17498   	0.679718  	0.248929  	0.291085  	0.239175  
14.750000	253.692   	259.675   	251.814   	251.254   	1.21036   	0.699002  	0.254437  	0.296866  	0.244654  
