Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
10.000000	157.572   	163.14    	156.309   	156.309   	0.787854  	0.478545  	0.182105  	0.218169  	0.17248   
10.250000	164.214   	169.782   	162.788   	162.782   	0.8224    	0.498081  	0.187626  	0.22403   	0.177925  
10.500000	170.856   	176.425   	169.267   	169.255   	0.856947  	0.517617  	0.193147  	0.229891  	0.183369  
10.750000	177.498   	183.067   	175.746   	175.729   	0.891494  	0.537154  	0.198668  	0.235751  	0.188814  
11.000000	184.14    	189.709   	182.226   	182.202   	0.926041  	0.55669   	0.204189  	0.241612  	0.194258  
11.250000	191.255   	196.804   	189.186   	189.146   	0.963593  	0.577705  	0.210294  	0.248079  	0.200277  
11.500000	198.371   	203.899   	196.147   	196.09    	1.00114   	0.59872   	0.216399  	0.254545  	0.206297  
11.750000	205.487   	210.993   	203.108   	203.034   	1.0387    	0.619736  	0.222504  	0.261011  	0.212316  
12.000000	212.603   	218.088   	210.069   	209.978   	1.07625   	0.640751  	0.228608  	0.267477  	0.218335  
12.250000	220.187   	225.632   	217.509   	217.39    	1.11678   	0.66322   	0.235281  	0.274526  	0.224915  
12.500000	227.771   	233.177   	224.949   	224.803   	1.15731   	0.685688  	0.241953  	0.281575  	0.231494  
12.750000	235.355   	240.721   	232.389   	232.215   	1.19784   	0.708157  	0.248625  	0.288624  	0.238074  
13.000000	242.939   	248.265   	239.829   	239.628   	1.23838   	0.730626  	0.255298  	0.295673  	0.244654  
13.250000	250.986   	256.257   	247.746   	247.507   	1.28186   	0.754524  	0.262527  	0.30329   	0.251785  
13.500000	259.033   	264.248   	255.662   	255.386   	1.32535   	0.778423  	0.269757  	0.310906  	0.258916  
13.750000	267.08    	272.24    	263.579   	263.265   	1.36884   	0.802321  	0.276986  	0.318523  	0.266047  
14.000000	275.127   	280.232   	271.495   	271.144   	1.41233   	0.82622   	0.284216  	0.326139  	0.273178  
14.250000	283.633   	288.668   	279.885   	279.487   	1.45875   	0.85153   	0.291988  	0.334304  	0.280849  
14.500000	292.138   	297.104   	288.276   	287.83    	1.50517   	0.876839  	0.299761  	0.342469  	0.288519  
14.750000	300.643   	305.54    	296.666   	296.173   	1.55159   	0.902149  	0.307534  	0.350634  	0.296189  
15.000000	309.148   	313.976   	305.056   	304.517   	1.59801   	0.927459  	0.315306  	0.358799  	0.30386   
15.250000	318.107   	322.853   	313.916   	313.321   	1.64734   	0.954153  	0.323612  	0.367497  	0.312061  
15.500000	327.065   	331.731   	322.777   	322.126   	1.69667   	0.980847  	0.331918  	0.376196  	0.320261  
15.750000	336.024   	340.609   	331.638   	330.931   	1.74599   	1.00754   	0.340224  	0.384895  	0.328462  
16.000000	344.982   	349.487   	340.498   	339.736   	1.79532   	1.03423   	0.348529  	0.393594  	0.336663  
16.250000	354.39    	358.804   	349.825   	348.999   	1.84753   	1.06228   	0.357357  	0.402811  	0.345384  
16.500000	363.797   	368.12    	359.153   	358.262   	1.89973   	1.09032   	0.366184  	0.412028  	0.354105  
16.750000	373.205   	377.437   	368.48    	367.526   	1.95193   	1.11836   	0.375011  	0.421245  	0.362826  
17.000000	382.612   	386.754   	377.808   	376.789   	2.00413   	1.1464    	0.383838  	0.430462  	0.371547  
17.250000	392.464   	396.507   	387.598   	386.508   	2.05918   	1.17577   	0.393176  	0.440181  	0.380779  
17.500000	402.316   	406.26    	397.388   	396.227   	2.11422   	1.20514   	0.402513  	0.449901  	0.39001   
17.750000	412.168   	416.014   	407.179   	405.945   	2.16927   	1.23452   	0.41185   	0.459621  	0.399241  
18.000000	422.02    	425.767   	416.969   	415.664   	2.22431   	1.26389   	0.421188  	0.469341  	0.408473  
18.250000	432.312   	435.953   	427.219   	425.835   	2.28217   	1.29458   	0.431027  	0.479552  	0.418207  
18.500000	442.605   	446.14    	437.469   	436.006   	2.34003   	1.32527   	0.440866  	0.489763  	0.427941  
18.750000	452.897   	456.327   	447.719   	446.176   	2.39788   	1.35596   	0.450705  	0.499974  	0.437676  
19.000000	463.19    	466.514   	457.968   	456.347   	2.45574   	1.38665   	0.460544  	0.510185  	0.44741   
19.250000	473.918   	477.131   	468.674   	466.966   	2.51637   	1.41864   	0.470877  	0.520877  	0.45764   
19.500000	484.647   	487.749   	479.379   	477.586   	2.57701   	1.45062   	0.48121   	0.531569  	0.46787   
19.750000	495.376   	498.366   	490.084   	488.205   	2.63764   	1.48261   	0.491543  	0.542261  	0.478101  
20.000000	506.105   	508.984   	500.789   	498.824   	2.69827   	1.51459   	0.501876  	0.552953  	0.488331  
20.250000	517.267   	520.029   	511.946   	509.888   	2.76164   	1.54783   	0.512694  	0.564115  	0.49905   
20.500000	528.428   	531.075   	523.102   	520.951   	2.82501   	1.58108   	0.523512  	0.575278  	0.509768  
20.750000	539.59    	542.121   	534.258   	532.015   	2.88838   	1.61432   	0.53433   	0.58644   	0.520487  
21.000000	550.751   	553.166   	545.414   	543.078   	2.95175   	1.64756   	0.545149  	0.597602  	0.531206  
21.250000	562.342   	564.637   	557.017   	554.582   	3.01781   	1.68203   	0.556444  	0.609223  	0.542406  
21.500000	573.932   	576.108   	568.62    	566.086   	3.08388   	1.7165    	0.567739  	0.620845  	0.553605  
21.750000	585.523   	587.58    	580.223   	577.59    	3.14994   	1.75097   	0.579035  	0.632467  	0.564805  
22.000000	597.113   	599.051   	591.826   	589.094   	3.216     	1.78543   	0.59033   	0.644089  	0.576005  
22.250000	609.129   	610.945   	603.87    	601.035   	3.28471   	1.82111   	0.602094  	0.656159  	0.587678  
22.500000	621.145   	622.838   	615.914   	612.975   	3.35341   	1.85678   	0.613857  	0.66823   	0.599351  
22.750000	633.161   	634.732   	627.959   	624.915   	3.42212   	1.89245   	0.625621  	0.680301  	0.611023  
23.000000	645.177   	646.626   	640.003   	636.855   	3.49083   	1.92812   	0.637385  	0.692372  	0.622696  
23.250000	657.615   	658.94    	652.484   	649.226   	3.56213   	1.96496   	0.649607  	0.704881  	0.634834  
23.500000	670.053   	671.254   	664.965   	661.598   	3.63343   	2.00181   	0.66183   	0.71739   	0.646972  
23.750000	682.49    	683.568   	677.446   	673.969   	3.70472   	2.03866   	0.674053  	0.729899  	0.659109  
24.000000	694.928   	695.882   	689.927   	686.341   	3.77602   	2.0755    	0.686276  	0.742409  	0.671247  
24.250000	707.785   	708.614   	702.839   	699.139   	3.84986   	2.11349   	0.698949  	0.755345  	0.683841  
24.500000	720.641   	721.345   	715.751   	711.938   	3.9237    	2.15148   	0.711622  	0.768282  	0.696435  
24.750000	733.498   	734.077   	728.663   	724.736   	3.99754   	2.18947   	0.724295  	0.781219  	0.709029  
25.000000	746.354   	746.809   	741.575   	737.534   	4.07138   	2.22746   	0.736968  	0.794155  	0.721623  
25.250000	759.832   	760.161   	755.123   	750.963   	4.14892   	2.26711   	0.750299  	0.807714  	0.734885  
25.500000	773.31    	773.514   	768.671   	764.392   	4.22646   	2.30676   	0.763629  	0.821272  	0.748148  
25.750000	786.789   	786.867   	782.219   	777.82    	4.304     	2.34641   	0.77696   	0.834831  	0.76141   
26.000000	800.267   	800.22    	795.767   	791.249   	4.38153   	2.38606   	0.790291  	0.848389  	0.774673  
26.250000	813.745   	813.572   	809.315   	804.677   	4.45907   	2.4257    	0.803621  	0.861948  	0.787935  
26.500000	827.223   	826.925   	822.863   	818.106   	4.53661   	2.46535   	0.816952  	0.875506  	0.801197  
26.750000	840.701   	840.278   	836.411   	831.534   	4.61415   	2.505     	0.830283  	0.889064  	0.81446   
27.000000	854.179   	853.631   	849.959   	844.963   	4.69168   	2.54465   	0.843613  	0.902623  	0.827722  
27.250000	868.475   	867.803   	864.336   	859.214   	4.77396   	2.5864    	0.857789  	0.916975  	0.841846  
27.500000	882.772   	881.976   	878.712   	873.466   	4.85623   	2.62815   	0.871965  	0.931328  	0.855971  
27.750000	897.068   	896.149   	893.089   	887.717   	4.9385    	2.66991   	0.886141  	0.945681  	0.870095  
28.000000	911.365   	910.321   	907.466   	901.969   	5.02077   	2.71166   	0.900317  	0.960033  	0.884219  
28.250000	925.661   	924.494   	921.842   	916.22    	5.10304   	2.75342   	0.914493  	0.974386  	0.898343  
28.500000	939.958   	938.666   	936.219   	930.472   	5.18532   	2.79517   	0.928669  	0.988738  	0.912467  
28.750000	954.254   	952.839   	950.596   	944.723   	5.26759   	2.83693   	0.942845  	1.00309   	0.926591  
29.000000	968.551   	967.012   	964.973   	958.974   	5.34986   	2.87868   	0.957021  	1.01744   	0.940715  
29.250000	983.654   	981.994   	980.156   	974.03    	5.43665   	2.92243   	0.972007  	1.03255   	0.955667  
29.500000	998.757   	996.977   	995.339   	989.085   	5.52343   	2.96618   	0.986992  	1.04766   	0.97062   
29.750000	1013.86   	1011.96   	1010.52   	1004.14   	5.61022   	3.00992   	1.00198   	1.06277   	0.985572  
30.000000	1028.96   	1026.94   	1025.71   	1019.2    	5.69701   	3.05367   	1.01696   	1.07787   	1.00052   
30.250000	1044.07   	1041.92   	1040.89   	1034.25   	5.7838    	3.09742   	1.03195   	1.09298   	1.01548   
30.500000	1059.17   	1056.91   	1056.07   	1049.31   	5.87058   	3.14117   	1.04693   	1.10809   	1.03043   
30.750000	1074.27   	1071.89   	1071.26   	1064.36   	5.95737   	3.18491   	1.06192   	1.1232    	1.04538   
31.000000	1089.38   	1086.87   	1086.44   	1079.42   	6.04416   	3.22866   	1.07691   	1.13831   	1.06033   
31.250000	1105.28   	1102.66   	1102.42   	1095.28   	6.13546   	3.2744    	1.09269   	1.15415   	1.0761    
31.500000	1121.17   	1118.44   	1118.4    	1111.14   	6.22676   	3.32014   	1.10847   	1.17      	1.09187   
31.750000	1137.07   	1134.22   	1134.38   	1127      	6.31807   	3.36588   	1.12424   	1.18584   	1.10763   
32.000000	1152.97   	1150.01   	1150.36   	1142.86   	6.40937   	3.41162   	1.14002   	1.20169   	1.1234    
32.250000	1168.87   	1165.79   	1166.34   	1158.72   	6.50067   	3.45736   	1.1558    	1.21753   	1.13917   
32.500000	1184.77   	1181.57   	1182.32   	1174.58   	6.59198   	3.50311   	1.17158   	1.23338   	1.15494   
32.750000	1200.67   	1197.35   	1198.31   	1190.44   	6.68328   	3.54885   	1.18736   	1.24922   	1.1707    
33.000000	1216.57   	1213.14   	1214.29   	1206.3    	6.77459   	3.59459   	1.20314   	1.26507   	1.18647   
33.250000	1233.25   	1229.71   	1231.06   	1222.96   	6.87039   	3.64232   	1.21971   	1.28163   	1.20304   
33.500000	1249.94   	1246.29   	1247.83   	1239.62   	6.9662    	3.69005   	1.23627   	1.2982    	1.21961   
33.750000	1266.62   	1262.86   	1264.6    	1256.28   	7.06201   	3.73779   	1.25283   	1.31477   	1.23618   
34.000000	1283.3    	1279.43   	1281.37   	1272.94   	7.15782   	3.78552   	1.26939   	1.33133   	1.25275   
34.250000	1299.99   	1296.01   	1298.14   	1289.6    	7.25363   	3.83325   	1.28595   	1.3479    	1.26933   
34.500000	1316.67   	1312.58   	1314.91   	1306.26   	7.34943   	3.88099   	1.30251   	1.36447   	1.2859    
34.750000	1333.35   	1329.16   	1331.68   	1322.92   	7.44524   	3.92872   	1.31907   	1.38104   	1.30247   
35.000000	1350.04   	1345.73   	1348.45   	1339.57   	7.54105   	3.97645   	1.33563   	1.3976    	1.31904   
35.250000	1367.69   	1363.28   	1366.2    	1357.22   	7.64242   	4.02662   	1.35315   	1.41505   	1.3366    
35.500000	1385.34   	1380.83   	1383.94   	1374.86   	7.74378   	4.07679   	1.37067   	1.4325    	1.35416   
35.750000	1402.99   	1398.38   	1401.68   	1392.5    	7.84515   	4.12696   	1.38819   	1.44995   	1.37172   
36.000000	1420.64   	1415.93   	1419.43   	1410.14   	7.94651   	4.17713   	1.40571   	1.46739   	1.38928   
36.250000	1438.29   	1433.48   	1437.17   	1427.79   	8.04788   	4.2273    	1.42323   	1.48484   	1.40684   
36.500000	1455.94   	1451.03   	1454.91   	1445.43   	8.14925   	4.27747   	1.44075   	1.50229   	1.4244    
36.750000	1473.59   	1468.58   	1472.66   	1463.07   	8.25061   	4.32764   	1.45827   	1.51974   	1.44196   
37.000000	1491.24   	1486.13   	1490.4    	1480.71   	8.35198   	4.37781   	1.47579   	1.53719   	1.45952   
37.250000	1508.89   	1503.68   	1508.14   	1498.35   	8.45334   	4.42798   	1.49331   	1.55463   	1.47708   
37.500000	1526.54   	1521.23   	1525.89   	1516      	8.55471   	4.47815   	1.51083   	1.57208   	1.49464   
37.750000	1544.19   	1538.78   	1543.63   	1533.64   	8.65608   	4.52832   	1.52835   	1.58953   	1.5122    
38.000000	1561.84   	1556.33   	1561.38   	1551.28   	8.75744   	4.57849   	1.54587   	1.60698   	1.52976   
38.250000	1580.63   	1575.03   	1580.27   	1570.08   	8.86536   	4.63152   	1.56451   	1.62546   	1.54848   
38.500000	1599.43   	1593.74   	1599.16   	1588.89   	8.97328   	4.68454   	1.58316   	1.64394   	1.56721   
38.750000	1618.22   	1612.44   	1618.05   	1607.69   	9.0812    	4.73756   	1.6018    	1.66241   	1.58594   
39.000000	1637.01   	1631.14   	1636.95   	1626.5    	9.18912   	4.79058   	1.62045   	1.68089   	1.60466   
39.250000	1655.8    	1649.85   	1655.84   	1645.3    	9.29704   	4.8436    	1.63909   	1.69937   	1.62339   
39.500000	1674.59   	1668.55   	1674.73   	1664.1    	9.40497   	4.89663   	1.65773   	1.71785   	1.64211   
39.750000	1693.38   	1687.25   	1693.62   	1682.91   	9.51289   	4.94965   	1.67638   	1.73633   	1.66084   
40.000000	1712.17   	1705.96   	1712.52   	1701.71   	9.62081   	5.00267   	1.69502   	1.75481   	1.67956   
40.250000	1730.96   	1724.66   	1731.41   	1720.52   	9.72873   	5.05569   	1.71367   	1.77328   	1.69829   
40.500000	1749.75   	1743.36   	1750.3    	1739.32   	9.83665   	5.10871   	1.73231   	1.79176   	1.71701   
40.750000	1768.55   	1762.07   	1769.19   	1758.12   	9.94457   	5.16174   	1.75096   	1.81024   	1.73574   
41.000000	1787.34   	1780.77   	1788.09   	1776.93   	10.0525   	5.21476   	1.7696    	1.82872   	1.75446   
41.250000	1807.25   	1800.61   	1808.11   	1796.87   	10.1669   	5.27061   	1.78935   	1.8482    	1.77433   
41.500000	1827.16   	1820.44   	1828.13   	1816.82   	10.2812   	5.32647   	1.80909   	1.86769   	1.79421   
41.750000	1847.07   	1840.28   	1848.15   	1836.77   	10.3956   	5.38232   	1.82884   	1.88717   	1.81408   
42.000000	1866.98   	1860.12   	1868.18   	1856.71   	10.51     	5.43818   	1.84859   	1.90666   	1.83395   
42.250000	1886.89   	1879.96   	1888.2    	1876.66   	10.6243   	5.49403   	1.86833   	1.92614   	1.85382   
42.500000	1906.81   	1899.79   	1908.22   	1896.6    	10.7387   	5.54989   	1.88808   	1.94562   	1.87369   
42.750000	1926.72   	1919.63   	1928.24   	1916.55   	10.853    	5.60574   	1.90783   	1.96511   	1.89356   
43.000000	1946.63   	1939.47   	1948.27   	1936.5    	10.9674   	5.6616    	1.92757   	1.98459   	1.91343   
43.250000	1966.54   	1959.31   	1968.29   	1956.44   	11.0818   	5.71745   	1.94732   	2.00407   	1.9333    
43.500000	1986.45   	1979.15   	1988.31   	1976.39   	11.1961   	5.77331   	1.96706   	2.02356   	1.95317   
43.750000	2006.36   	1998.98   	2008.33   	1996.33   	11.3105   	5.82916   	1.98681   	2.04304   	1.97304   
44.000000	2026.27   	2018.82   	2028.36   	2016.28   	11.4249   	5.88502   	2.00656   	2.06253   	1.99291   
44.250000	2047.29   	2039.77   	2049.49   	2037.35   	11.5456   	5.9436    	2.02738   	2.08299   	2.01391   
44.500000	2068.3    	2060.73   	2070.62   	2058.42   	11.6662   	6.00218   	2.04821   	2.10346   	2.03491   
44.750000	2089.31   	2081.68   	2091.76   	2079.49   	11.7869   	6.06076   	2.06903   	2.12392   	2.0559    
45.000000	2110.32   	2102.63   	2112.89   	2100.56   	11.9076   	6.11934   	2.08986   	2.14439   	2.0769    
45.250000	2131.34   	2123.59   	2134.02   	2121.63   	12.0283   	6.17792   	2.11068   	2.16485   	2.0979    
45.500000	2152.35   	2144.54   	2155.16   	2142.7    	12.1489   	6.2365    	2.13151   	2.18532   	2.11889   
45.750000	2173.36   	2165.5    	2176.29   	2163.76   	12.2696   	6.29508   	2.15233   	2.20578   	2.13989   
46.000000	2194.38   	2186.45   	2197.42   	2184.83   	12.3903   	6.35366   	2.17316   	2.22625   	2.16089   
46.250000	2215.39   	2207.4    	2218.56   	2205.9    	12.511    	6.41224   	2.19398   	2.24671   	2.18188   
46.500000	2236.4    	2228.36   	2239.69   	2226.97   	12.6317   	6.47082   	2.21481   	2.26718   	2.20288   
46.750000	2257.41   	2249.31   	2260.83   	2248.04   	12.7523   	6.5294    	2.23563   	2.28764   	2.22388   
47.000000	2278.43   	2270.26   	2281.96   	2269.11   	12.873    	6.58798   	2.25646   	2.30811   	2.24487   
47.250000	2300.52   	2292.32   	2304.19   	2291.29   	12.9999   	6.64926   	2.27834   	2.32953   	2.26698   
47.500000	2322.62   	2314.37   	2326.41   	2313.46   	13.1268   	6.71054   	2.30023   	2.35096   	2.28909   
47.750000	2344.71   	2336.42   	2348.64   	2335.63   	13.2537   	6.77182   	2.32211   	2.37239   	2.31119   
48.000000	2366.81   	2358.47   	2370.87   	2357.81   	13.3806   	6.8331    	2.344     	2.39381   	2.3333    
48.250000	2388.9    	2380.52   	2393.1    	2379.98   	13.5075   	6.89438   	2.36588   	2.41524   	2.35541   
48.500000	2411      	2402.58   	2415.33   	2402.16   	13.6343   	6.95566   	2.38776   	2.43667   	2.37751   
48.750000	2433.1    	2424.63   	2437.55   	2424.33   	13.7612   	7.01694   	2.40965   	2.45809   	2.39962   
49.000000	2455.19   	2446.68   	2459.78   	2446.51   	13.8881   	7.07822   	2.43153   	2.47952   	2.42173   
49.250000	2477.29   	2468.73   	2482.01   	2468.68   	14.015    	7.1395    	2.45342   	2.50095   	2.44383   
49.500000	2499.38   	2490.79   	2504.24   	2490.86   	14.1419   	7.20078   	2.4753    	2.52237   	2.46594   
49.750000	2521.48   	2512.84   	2526.46   	2513.03   	14.2688   	7.26206   	2.49719   	2.5438    	2.48804   
50.000000	2543.57   	2534.89   	2548.69   	2535.21   	14.3957   	7.32333   	2.51907   	2.56523   	2.51015   
50.250000	2567.09   	2558.38   	2572.35   	2558.83   	14.5306   	7.38817   	2.54233   	2.5879    	2.53371   
50.500000	2590.6    	2581.87   	2596.01   	2582.45   	14.6656   	7.453     	2.5656    	2.61058   	2.55727   
50.750000	2614.11   	2605.36   	2619.67   	2606.07   	14.8006   	7.51784   	2.58886   	2.63325   	2.58082   
51.000000	2637.62   	2628.85   	2643.33   	2629.69   	14.9355   	7.58267   	2.61213   	2.65593   	2.60438   
51.250000	2661.13   	2652.34   	2666.99   	2653.31   	15.0705   	7.6475    	2.63539   	2.6786    	2.62794   
51.500000	2684.64   	2675.83   	2690.65   	2676.93   	15.2055   	7.71234   	2.65865   	2.70128   	2.6515    
51.750000	2708.16   	2699.31   	2714.31   	2700.55   	15.3404   	7.77717   	2.68192   	2.72396   	2.67506   
52.000000	2731.67   	2722.8    	2737.97   	2724.17   	15.4754   	7.842     	2.70518   	2.74663   	2.69861   
