Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
0.000000	-	-	-	-	-	-	-	-	-
0.002500	0.0730961 	0.0754597 	0.0865997 	0.0865997 	0.00447978	0.00447978	0.000266859	0.000450223	0.000193147
0.005000	0.137909  	0.143901  	0.162286  	0.162286  	0.00515783	0.00515783	0.000652148	0.00107837	0.00048526
0.007500	0.194294  	0.203444  	0.224444  	0.224444  	0.00518141	0.00518141	0.00106006	0.0017294 	0.00080247
0.010000	0.246853  	0.258946  	0.280763  	0.280763  	0.00527861	0.00527861	0.0014677 	0.0023749 	0.00112229
0.012500	0.292904  	0.307576  	0.33016   	0.33016   	0.00551454	0.00551454	0.00188399	0.00302573	0.00145344
0.015000	0.338955  	0.356206  	0.379557  	0.379557  	0.00575047	0.00575047	0.00230027	0.00367656	0.0017846 
0.017500	0.37866   	0.398133  	0.423318  	0.423318  	0.00605973	0.00605973	0.00272236	0.00432985	0.00212391
0.020000	0.418364  	0.440061  	0.467079  	0.467079  	0.006369  	0.006369  	0.00314444	0.00498314	0.00246321
0.022500	0.453498  	0.477162  	0.506377  	0.506377  	0.00667586	0.00667586	0.00356309	0.00562729	0.00280176
0.025000	0.488632  	0.514263  	0.545674  	0.545674  	0.00698273	0.00698273	0.00398173	0.00627145	0.0031403 
0.027500	0.520137  	0.547533  	0.581886  	0.581886  	0.00727349	0.00727349	0.00439976	0.00691134	0.0034801 
0.030000	0.551643  	0.580803  	0.618098  	0.618098  	0.00756426	0.00756426	0.0048178 	0.00755123	0.00381991
0.032500	0.580979  	0.611782  	0.652259  	0.652259  	0.00784181	0.00784181	0.00523088	0.00818043	0.00415732
0.035000	0.610315  	0.64276   	0.68642   	0.68642   	0.00811936	0.00811936	0.00564396	0.00880962	0.00449472
0.037500	0.638391  	0.672408  	0.718885  	0.718885  	0.00838074	0.00838074	0.00599238	0.00933896	0.00478002
0.040000	0.666467  	0.702056  	0.75135   	0.75135   	0.00864212	0.00864212	0.00634079	0.0098683 	0.00506532
0.042500	0.693683  	0.730796  	0.782398  	0.782398  	0.00888751	0.00888751	0.00663263	0.0103108 	0.00530471
0.045000	0.720899  	0.759537  	0.813446  	0.813446  	0.0091329 	0.0091329 	0.00692447	0.0107534 	0.00554411
0.047500	0.747573  	0.787704  	0.843299  	0.843299  	0.00936364	0.00926635	0.00718681	0.0111506 	0.00575959
0.050000	0.774247  	0.815872  	0.873152  	0.873152  	0.00959437	0.00939979	0.00744916	0.0115479 	0.00597507
0.052500	0.80024   	0.84332   	0.90199   	0.90199   	0.00981211	0.00947228	0.00768653	0.0119069 	0.00617025
0.055000	0.826233  	0.870768  	0.930827  	0.930827  	0.0100299 	0.00954476	0.00792389	0.0122659 	0.00636542
0.057500	0.851365  	0.897308  	0.958795  	0.958795  	0.0102363 	0.00961505	0.00814395	0.0125985 	0.00654651
0.060000	0.876498  	0.923848  	0.986762  	0.986762  	0.0104426 	0.00968534	0.00836401	0.012931  	0.0067276 
0.062500	0.90068   	0.949384  	1.01366   	1.01366   	0.0106349 	0.00975301	0.00856844	0.0132397 	0.00689598
0.065000	0.924862  	0.97492   	1.04055   	1.04055   	0.0108272 	0.00982068	0.00877287	0.0135483 	0.00706435
0.067500	0.949044  	1.00046   	1.06745   	1.06745   	0.0110195 	0.00988834	0.0089773 	0.0138569 	0.00723272
0.070000	0.973226  	1.02599   	1.09434   	1.09434   	0.0112118 	0.00995601	0.00918173	0.0141656 	0.0074011 
0.072500	0.996168  	1.05022   	1.1201    	1.1201    	0.0113893 	0.0100211 	0.00937276	0.0144536 	0.00755861
0.075000	1.01911   	1.07445   	1.14587   	1.14587   	0.0115668 	0.0100862 	0.0095638 	0.0147417 	0.00771612
0.077500	1.04205   	1.09867   	1.17163   	1.17163   	0.0117443 	0.0101513 	0.00975484	0.0150298 	0.00787363
0.080000	1.065     	1.1229    	1.19739   	1.19739   	0.0119217 	0.0102164 	0.00994587	0.0153178 	0.00803115
0.082500	1.0868    	1.14592   	1.22229   	1.22229   	0.012088  	0.0102797 	0.0101263 	0.0155894 	0.00818014
